pmcid	score	relevancy
2970787	0.5915161	1
3004507	0.42440152	0
3662144	0.3426698	0
3510936	0.32808372	0
3746308	0.30551076	0
3766216	0.29850122	0
3683415	0.29277223	1
3237133	0.2543726	0
3375662	0.2501813	1
2796073	0.23623733	0
3025166	0.22912359	0
1950489	0.22482312	0
3784111	0.22470436	0
3806158	0.22283831	2
3408995	0.22182764	0
3510938	0.2195658	2
3261802	0.21566485	0
2376090	0.21356516	0
3119443	0.21230029	2
3853872	0.21214294	2
3395751	0.20982467	0
3719326	0.2085477	0
2770819	0.20405361	0
3313738	0.20343804	0
2885647	0.19504969	0
3560145	0.19402893	0
3719271	0.18850607	0
3062133	0.18818891	0
3195241	0.1864334	0
3350288	0.1861948	0
2921501	0.1836232	0
1502130	0.18020023	0
3356124	0.17999105	2
3656534	0.1784601	0
2770548	0.17489329	1
3168002	0.17447267	0
2010727	0.17332055	0
3339129	0.1700049	0
3623530	0.16979368	0
3738360	0.1682478	0
3407554	0.16761142	0
3463909	0.16730751	0
3731351	0.16667424	0
2745860	0.16644454	0
3643369	0.16602635	0
3074283	0.16392812	0
1539014	0.16368249	0
3544356	0.1618836	1
2943074	0.16012937	0
2732598	0.15969351	0
2834603	0.1596682	0
3435916	0.15892476	0
2884455	0.1585458	0
2526981	0.15799682	0
3410352	0.15752953	0
3781252	0.15718806	0
2649125	0.15715857	0
3245496	0.15703548	0
3126760	0.1560351	0
2858844	0.15487456	0
3249873	0.15478958	1
3693656	0.15267399	0
3762045	0.15173425	0
2647934	0.15152477	0
3401773	0.15124555	0
3406938	0.14944571	0
3663461	0.14940087	1
3413583	0.14938012	0
3250001	0.14919621	0
3719302	0.14917244	0
1892556	0.14880167	0
3183510	0.14861308	2
3099610	0.14846402	0
3615941	0.14737622	1
2727109	0.14577508	0
3094677	0.1454881	0
2727116	0.14506848	0
3506227	0.14446662	0
3562590	0.14423518	2
3132912	0.1418173	0
3808108	0.14170441	0
1557709	0.14131337	0
