pmcid	score	relevancy
3698044	0.18297534	0
3804998	0.18262872	0
3289835	0.18055147	0
2686635	0.18049368	0
2843635	0.1804187	0
3560765	0.17975427	0
3524703	0.17852667	0
3485580	0.17575127	0
3829860	0.17466637	0
3046346	0.17333615	0
3706726	0.17002687	0
2600818	0.16920432	0
3475301	0.16601627	0
3686329	0.16438325	0
3182010	0.16367726	0
3189692	0.16352642	0
3100218	0.15956017	0
3430891	0.15899555	0
2920084	0.15880461	0
3213209	0.15874681	0
3439340	0.15852702	0
2994656	0.15795277	2
3395946	0.15769917	0
3400886	0.15763369	1
481084	0.15739982	0
2672393	0.15667701	0
3488421	0.15631229	0
3534010	0.15570804	0
2769390	0.15458204	0
3560522	0.15376322	0
3722415	0.15356073	0
3573524	0.15308663	0
3305484	0.15304494	0
2762184	0.15217039	0
3781199	0.15131062	0
3406221	0.150942	0
3548361	0.14999099	1
3597910	0.14965937	0
2605766	0.14948137	0
3363139	0.14867829	0
3804992	0.14862502	0
3879583	0.14841345	0
3402108	0.14759797	0
3284874	0.14687885	0
3808860	0.14649978	0
3309367	0.14640123	0
529263	0.146283	0
3423950	0.1447056	0
3653220	0.1446395	0
3060997	0.14452371	0
3833481	0.14390965	0
2984268	0.1437854	1
2948674	0.1431718	0
2329664	0.14287488	0
2834574	0.14268893	0
3827665	0.14249668	0
3526878	0.14196284	0
2796066	0.14170703	0
3785342	0.14153014	0
3150839	0.14106482	2
3074312	0.14104512	0
2799065	0.14079563	0
3843310	0.13998802	0
2984544	0.13982701	0
3184474	0.13962178	0
3115304	0.13947889	0
1364522	0.13917525	0
3513220	0.13859583	0
3470296	0.13840291	0
3004089	0.13807854	0
3530518	0.13782743	0
2397008	0.13717136	0
3115284	0.1369186	0
3693614	0.13548537	1
3523553	0.13534565	0
3097155	0.13532947	0
2927504	0.13524343	0
3773423	0.13517202	0
3298461	0.134742	0
2908877	0.13437149	1
1557854	0.13427328	1
3529422	0.13384403	0
2885253	0.13352817	0
3561741	0.13251497	0
2813527	0.13249047	0
3129113	0.13229215	0
3364663	0.1321257	0
2500042	0.13202979	0
1949812	0.13177128	0
2682450	0.13142347	0
3602640	0.13139862	0
3804449	0.13126479	0
2794498	0.13125785	0
2858136	0.13073447	0
3057238	0.13068908	0
3176485	0.13055407	0
3336925	0.13041426	0
3674472	0.13039316	0
1175898	0.13023624	0
3349957	0.1302247	1
2831203	0.13020827	1
2700076	0.13002343	0
3765128	0.12986927	0
3837720	0.12966126	0
3728339	0.1296222	0
3020341	0.1296039	0
3862719	0.1292663	0
3733708	0.12891047	0
149229	0.12877044	0
3199890	0.1285806	0
3611601	0.12847942	0
2803848	0.12824948	1
3769617	0.12785089	0
3372001	0.12746432	0
3867894	0.12745461	0
2740084	0.12744994	0
1920553	0.12739456	0
161802	0.12720266	0
3866834	0.12706283	0
2746805	0.12690881	0
2387294	0.1263369	0
3821450	0.12630449	0
2232040	0.1258451	0
3126789	0.12574928	0
3528076	0.12548234	0
3624964	0.12531012	0
3821438	0.12493987	0
3506731	0.12492727	0
2690064	0.12488295	0
3438425	0.12484793	0
3858192	0.12470143	0
3606293	0.12441506	0
3829287	0.124410346	0
3503948	0.124352075	0
3358685	0.12427962	0
3437511	0.12427412	0
3600860	0.12422394	0
2561013	0.124189034	0
2288603	0.12414854	0
3093233	0.12367604	0
2686843	0.123663396	0
1832184	0.12364191	0
3701401	0.12361457	0
2783070	0.1234602	0
3670646	0.12338522	0
3265521	0.12318919	0
2902483	0.12312667	0
2767158	0.12308026	0
3337248	0.122901514	0
3443996	0.12262448	0
3658236	0.12253137	0
3687249	0.12246166	0
3166897	0.122401215	0
3849520	0.12224686	0
3328889	0.122085206	0
3852524	0.12202948	0
2896347	0.1219739	0
3089911	0.12142817	2
2366049	0.12139341	0
3707411	0.12136247	0
2323545	0.1211783	0
1278504	0.12114461	0
2762252	0.12095195	0
2938497	0.12090395	0
2585689	0.120819345	0
3818750	0.12068241	0
3623748	0.12066522	0
2443793	0.12062444	0
3663371	0.12058287	0
3124981	0.12057693	0
3641992	0.12053433	0
3734736	0.12036179	1
