pmcid	score	relevancy
3834987	0.2644081	0
2892615	0.2547838	0
3833481	0.22443536	0
3656631	0.21959214	0
1915650	0.21892561	0
3320390	0.20976861	2
3614649	0.2087304	2
2611962	0.2027729	0
3764358	0.20225342	0
3894143	0.19953321	0
3490473	0.1982991	0
3280186	0.19752814	0
3423911	0.19262016	0
3403064	0.18902823	0
3172973	0.18850105	0
2868875	0.18814573	0
3858699	0.18392543	0
2751738	0.18305942	0
3820174	0.18164732	0
3420609	0.18075874	0
3166438	0.17862985	0
3264568	0.17666928	0
3622393	0.1759814	0
3821148	0.17389742	0
2793241	0.17380309	0
3755437	0.17308122	0
3562534	0.17095694	0
3517187	0.17001234	0
2807864	0.168867	0
3833581	0.16754714	0
3570032	0.16745152	0
3654939	0.16579172	0
3764340	0.1657109	0
2546470	0.16280837	0
3610089	0.16256657	0
2628121	0.16172889	0
3848723	0.16132808	0
3139154	0.16009928	0
3718246	0.16003469	0
3196037	0.15875643	0
3741014	0.1574764	0
3555597	0.1570358	0
3759076	0.15650836	0
3858693	0.15613216	0
3500135	0.1557267	0
3208924	0.1556198	0
2980628	0.15484522	0
3735335	0.15442507	0
3582858	0.15378043	0
3513310	0.15320447	0
1940253	0.15292892	0
2246109	0.1526351	0
3619691	0.15200993	0
3423950	0.15074757	0
3572577	0.15046537	0
1373644	0.14955379	0
3119861	0.14926048	0
3670647	0.14918396	0
3532966	0.14891149	0
3023428	0.1473149	0
3709274	0.1466451	0
3871751	0.14597757	0
3895790	0.14582612	0
3601044	0.14560607	0
3252294	0.14470515	0
3037323	0.14424747	0
2626929	0.14365785	0
3524713	0.14314498	0
3835511	0.14233097	0
3616977	0.14150044	0
3876310	0.14133519	0
3086328	0.14106156	0
3686177	0.14074333	0
3429097	0.14051041	0
3548379	0.14040144	0
3432784	0.13999835	0
2790183	0.13997957	0
3385264	0.13929449	0
3150871	0.13904789	0
3705145	0.13879842	0
3861848	0.13835533	0
3098519	0.13794667	0
2773587	0.13685837	0
3096572	0.13673846	0
3561083	0.13613121	0
3129533	0.13612795	0
3193647	0.1359908	0
3445230	0.13587424	0
3751786	0.13583112	0
2526427	0.1357453	0
514562	0.1338065	0
3153296	0.13375345	0
3504250	0.13372165	0
3598739	0.13303302	0
3678211	0.13243291	0
3478569	0.13227805	0
3182973	0.13205387	0
3664409	0.13180366	0
3309321	0.13166048	0
3730206	0.13131146	0
3328151	0.1310644	0
3853354	0.13086244	0
2710506	0.1304315	1
3498670	0.12989785	0
3104373	0.12971814	0
2631524	0.12942329	0
3542889	0.12926705	0
3664413	0.12886807	0
3371349	0.12861805	0
2989524	0.12843919	0
2898546	0.12788925	0
3299659	0.1276565	0
3691589	0.12709665	0
3202504	0.12631325	0
3705276	0.1257363	0
3506020	0.12529568	0
2769323	0.1251491	0
1852908	0.12500101	0
3613646	0.12476395	0
2654866	0.1246725	0
60006	0.124221504	0
3227226	0.12413587	0
3883066	0.12413162	0
3487217	0.124119595	0
3690644	0.124086864	0
3120665	0.12402121	0
3622375	0.124005266	0
2901953	0.123746686	0
1253520	0.12365182	0
3162835	0.12362263	0
3614776	0.12351883	0
2984268	0.123255245	0
3582863	0.12324207	0
2360667	0.12315173	0
1634849	0.123127475	0
2363948	0.12306113	0
3377918	0.122823544	0
3162908	0.12250246	0
3384944	0.122211196	0
3508655	0.12218028	0
3325748	0.12207174	0
3152527	0.12203279	0
3495043	0.12155585	0
3429034	0.121440604	0
3876621	0.12123075	0
2953609	0.12069824	0
3777312	0.120204546	0
2474607	0.12013402	0
2929215	0.12002253	0
1550245	0.11987166	0
3457722	0.11983023	0
3585303	0.11981842	0
2941760	0.119510144	0
2908646	0.11927456	0
3411405	0.11925051	0
3509705	0.119129226	0
3519056	0.119128674	0
3383503	0.11904568	0
3472230	0.11898505	0
3112366	0.1185688	0
2742518	0.11839291	0
2850859	0.11817258	0
3162880	0.11811863	0
3080839	0.11799541	0
3177918	0.11776445	0
3589868	0.11770089	0
3062973	0.11725554	0
3708351	0.117239796	0
3851840	0.11698166	0
2687896	0.11690126	0
3205552	0.11688795	0
2824958	0.11688749	0
3814995	0.11666947	0
3837720	0.1164073	0
2799065	0.11639551	0
3027454	0.11610975	0
3660485	0.115778595	0
3528951	0.11557188	0
3734632	0.11530826	0
2213654	0.115244694	0
1282576	0.11515518	2
3364074	0.11494483	0
3085505	0.11464899	0
2867996	0.114639774	0
2615281	0.11462379	0
3385313	0.114516355	0
3806512	0.114484444	0
2039785	0.11442711	0
2538503	0.11440828	0
2630300	0.11429298	0
3451906	0.114281945	0
3640972	0.11418489	0
3143727	0.11406362	0
2726480	0.11390965	0
3569902	0.11358508	0
2769397	0.11357873	0
1564027	0.11293778	0
2644696	0.11280376	0
2783048	0.11270489	0
3347913	0.11264292	2
3214849	0.112546146	0
3157089	0.11246053	0
3166293	0.112439536	0
2902147	0.112311564	0
3259499	0.11221275	0
2862042	0.11176746	0
2874766	0.11171518	0
3599747	0.111548826	0
2672132	0.11146867	0
3880707	0.1113586	0
3159754	0.110705115	0
2547099	0.11050882	0
3443435	0.11046343	0
3491320	0.11013342	0
3407708	0.10999888	0
3519073	0.1098888	2
2875668	0.10964845	0
3051097	0.10964103	0
2769324	0.10957534	0
2781812	0.10926542	0
3664389	0.10911982	0
3098861	0.109031215	0
3434906	0.10887618	0
3566383	0.10846323	0
3353247	0.108356684	0
3635998	0.10821345	0
3582688	0.10788127	0
3409992	0.107485846	0
3642086	0.10748021	2
3242647	0.10730192	0
3683169	0.10718443	0
3851743	0.10693468	0
1952062	0.10693286	0
3141494	0.106822014	0
2361073	0.10663949	0
3662609	0.106449395	0
324409	0.10635639	0
3087163	0.10626438	0
3728529	0.106251396	0
3318181	0.10624754	0
3738323	0.1061578	0
3212602	0.10613308	0
2656546	0.10613092	2
3169986	0.10601253	0
2238755	0.10590372	0
2542391	0.10589541	0
3291884	0.105811894	0
3337488	0.10559512	0
3863660	0.10554724	0
2014743	0.10554629	0
3879517	0.10541045	0
2914369	0.10534686	0
3671311	0.10533866	0
