pmcid	relevancy	score
3219759.0	2.0	0.17271529
3479064.0	2.0	0.12387721
3170646.0	2.0	0.054632016
3430121.0	1.0	0.07594667
3884851.0	2.0	0.015315244
3845712.0	2.0	0.056233127
2672797.0	1.0	0.039119724
2650603.0	2.0	0.07698646
3257951.0	1.0	0.035155665
2707802.0	2.0	0.087617055
3869834.0	2.0	0.0783394
2629961.0	2.0	0.045089316
3217852.0	1.0	0.01723834
3580134.0	2.0	0.019165752
3657849.0	2.0	0.08668895
2876086.0	2.0	0.011096721
3463056.0	1.0	0.076261625
3728154.0	2.0	0.07858625
3884956.0	2.0	0.08880385
2629982.0	2.0	0.062526785
3775210.0	2.0	0.17477562
3642471.0	2.0	0.1324932
3556894.0	2.0	0.056054696
1168908.0	1.0	0.047041725
2707811.0	2.0	0.10354154
1524986.0	1.0	0.08718032
2048957.0	1.0	0.09017407
3653890.0	2.0	0.047670502
2799410.0	1.0	0.0743727
2699965.0	1.0	0.12627603
2865026.0	1.0	0.042226408
2802352.0	1.0	0.09422281
1524947.0	1.0	0.06362276
3457839.0	2.0	0.01983693
1079947.0	1.0	0.041115116
2962297.0	1.0	0.055885322
1633737.0	1.0	0.034458894
3808824.0	1.0	0.10162171
3359241.0	2.0	0.023245968
2707808.0	2.0	0.02833829
3530855.0	1.0	0.12857278
3787546.0	2.0	0.056064043
2687595.0	1.0	0.0474439
2739483.0	2.0	0.042515527
3107698.0	2.0	0.13447091
3062119.0	1.0	0.032259353
3511775.0	2.0	0.07566373
3514008.0	2.0	0.029854154
3004609.0	2.0	0.16103603
2672796.0	1.0	0.036861937
2941920.0	2.0	0.016235854
3638626.0	2.0	0.03206296
2706609.0	1.0	0.017352186
1481583.0	1.0	0.035988715
1949836.0	1.0	0.07994757
3553649.0	1.0	0.0950772
2650592.0	1.0	0.07382309
1483837.0	1.0	0.037130885
2706605.0	1.0	0.05304887
3325000.0	2.0	0.042430792
3818738.0	1.0	0.07491032
3459658.0	1.0	0.01712702
2695197.0	2.0	0.022482667
3282915.0	2.0	0.06784559
3816156.0	2.0	0.11874692
2692114.0	2.0	0.029471213
2939681.0	1.0	0.028766818
2707151.0	1.0	0.056721404
3109340.0	2.0	0.0748726
2846152.0	2.0	0.05285677
2650609.0	1.0	0.070085846
2988175.0	2.0	0.037352793
3016307.0	1.0	0.046637584
2692120.0	2.0	0.0694855
3266210.0	2.0	0.08359759
2707157.0	2.0	0.034202613
3370314.0	1.0	0.0749664
2442901.0	1.0	0.027378218
2528218.0	1.0	0.034820534
1269449.0	1.0	0.1208549
3485098.0	1.0	0.03555836
2962302.0	2.0	0.04992782
2695191.0	2.0	0.06078667
1697818.0	1.0	0.09614554
1479817.0	1.0	0.075589605
3595976.0	2.0	0.024436941
3711651.0	2.0	0.034503657
3047913.0	1.0	0.10152705
2629967.0	2.0	0.07721184
3165919.0	1.0	0.087159395
2706597.0	1.0	0.09574037
3436722.0	1.0	0.017486064
3206765.0	2.0	0.039243594
3833311.0	1.0	0.062566064
2699821.0	2.0	0.053443935
3372934.0	1.0	0.04497651
3436640.0	2.0	0.04867538
3177593.0	2.0	0.04155174
3206766.0	2.0	0.080690525
3321723.0	2.0	0.044650704
3475004.0	2.0	0.080422714
