pmcid	score	relevancy
3632492	0.39781198	2
3425034	0.39284387	2
3232573	0.38606915	2
3005218	0.3761231	2
3749082	0.36344746	2
2687814	0.35918602	2
3446097	0.35147172	2
2526417	0.3442209	2
3162786	0.31943655	2
3097588	0.31082362	2
3194761	0.30618662	2
3259313	0.3046809	2
2769330	0.3033285	2
3891393	0.30100337	2
3625593	0.2982651	2
3247765	0.29719597	1
3580901	0.2960611	0
2807148	0.29392034	2
3809217	0.28578383	2
1852903	0.2825758	2
3370327	0.27696425	2
3598686	0.2754428	2
2804020	0.2694161	0
2646726	0.26472995	1
3573789	0.26178038	2
3734005	0.2611286	0
3490505	0.2599653	1
3289979	0.2579564	2
2799065	0.25741413	1
3465542	0.24740152	0
3569638	0.24712355	2
2908875	0.24707875	2
3385618	0.2411991	2
2831247	0.24074556	2
2828460	0.23664406	2
3294360	0.23526032	0
3163180	0.23486711	2
3122094	0.23458068	0
3819680	0.23277362	2
2831897	0.2325705	1
3722906	0.2322156	0
3564025	0.2275911	2
3102615	0.22625431	2
2908435	0.22604804	2
3282974	0.22486201	2
3752485	0.22368221	0
3264881	0.22177628	2
3094683	0.21806684	2
3292802	0.21778108	2
3012841	0.21540107	0
3020335	0.21132293	2
3715333	0.20944807	0
3235783	0.20817794	2
3564105	0.20815532	1
3808853	0.207097	2
1906775	0.2022773	0
3469389	0.2017866	1
3838481	0.19801925	2
3575318	0.1943434	0
3734755	0.19391009	2
3707411	0.19301365	0
3152732	0.19154455	0
3425032	0.19119903	2
3888612	0.19029105	2
3891082	0.18909453	0
2859338	0.18535224	0
2771826	0.1848805	0
2570823	0.18390952	0
3025344	0.1837864	0
3266188	0.18370195	0
2856380	0.18319866	0
3819682	0.18309107	2
2940168	0.18211772	0
2438311	0.18192634	0
3033903	0.18176872	0
3350175	0.18145028	0
2801629	0.18002099	0
3826559	0.17954528	2
3403954	0.17919901	0
3354466	0.1779137	0
3679720	0.17745876	0
3727182	0.177451	0
3505571	0.17710151	0
3403367	0.17702991	0
3783481	0.17699471	0
3446146	0.17659539	0
2644320	0.17417797	0
3555598	0.17356521	0
3487198	0.17285359	2
3771485	0.17259413	0
3466869	0.17253602	2
2784504	0.17236945	0
3891079	0.17213534	0
3649697	0.1718242	0
2804003	0.17115204	0
3885191	0.17072277	0
