pmcid	title	abstract	body	relevancy
3570452	1.696434	0.117843784	2.3527598	0
2740127	1.596085	2.578469	0.13240016	0
3270297	1.4565094	0.12879667	3.6539063	0
2753354	1.3636417	2.3293588	2.9494448	0
3646790	1.3223453	3.2166843	4.5091615	0
2246062	1.2630901	2.0189965	2.1262467	0
2228297	1.2554408	1.8962935	2.5109725	0
3545994	1.2242543	2.648802	2.2392726	0
3512884	1.1649597	2.781042	0.02203168	0
3651286	1.1050715	2.2599623	2.6820862	0
2607302	1.0980041	0.031245645	3.0998588	0
3765547	1.0537262	0.020039914	3.2523267	0
3890975	1.0528848	0.019338815	3.3078713	0
2262910	1.0499479	1.4692386	1.7819455	0
3836426	0.98579997	1.9113035	3.9909828	0
3015686	0.95205444	2.5761485	2.8191383	0
3031240	0.9450526	3.3125336	4.0234895	0
2589624	0.88224554	1.2481927	0.018072583	0
3642540	0.81797636	0.018935092	3.1821532	0
3113209	0.81718147	1.9334381	2.9528818	0
3512687	0.8084721	2.7791376	0.020444615	0
3216032	0.80760014	1.7855695	4.148382	0
3850162	0.6845275	0.01618083	2.5614967	0
3513164	0.68281406	2.3647244	0.014117751	0
3878174	0.6538445	0.6538445	0.6538445	2
3022319	0.5632694	0.5632694	0.5632694	0
2270822	0.5477042	0.5477042	0.5477042	2
2453113	0.5432725	0.5432725	0.5432725	0
2768737	0.535284	0.535284	0.535284	0
2591287	0.5242827	0.005659886	0.005659886	0
3246139	0.51467645	0.51467645	0.51467645	0
3405392	0.51450133	0.51450133	0.51450133	2
3777352	0.49026316	0.49026316	0.49026316	0
2595410	0.48735473	0.95106024	0.003499196	0
3181873	0.48450136	0.48450136	0.48450136	0
2031887	0.48186797	0.48186797	0.48186797	2
3096313	0.45277008	0.45277008	0.45277008	2
3068880	0.448691	0.448691	0.448691	0
2515901	0.4429761	0.4429761	0.4429761	2
3181770	0.43481788	0.43481788	0.43481788	2
2729295	0.43064773	0.43064773	0.43064773	0
3573983	0.42383325	0.42383325	0.42383325	0
3181900	0.42200083	0.42200083	0.42200083	0
3845061	0.42099205	0.42099205	0.42099205	0
3123969	0.41904914	0.41904914	0.41904914	2
2671777	0.4102862	0.4102862	0.4102862	0
3443362	0.40454903	0.40454903	0.40454903	0
3267342	0.39568675	0.39568675	0.39568675	0
2951743	0.39237267	0.39237267	0.39237267	0
3032763	0.38881585	0.38881585	0.38881585	0
2656332	0.3851211	0.3851211	0.3851211	2
3195167	0.3851057	0.3851057	0.3851057	0
2738416	0.38217354	0.38217354	0.38217354	0
2914256	0.38098702	0.38098702	0.38098702	0
2921140	0.37865975	0.37865975	0.37865975	2
2889009	0.3765064	0.3765064	0.3765064	0
3122543	0.37595278	0.37595278	0.37595278	2
3810321	0.37528825	0.37528825	0.37528825	0
3449426	0.3751431	0.3751431	0.3751431	0
2796021	0.37313142	0.37313142	0.37313142	0
3665220	0.36984608	0.36984608	0.36984608	0
2724509	0.36977485	0.36977485	0.36977485	0
3142278	0.36930373	0.36930373	0.36930373	0
3146202	0.3666562	0.3666562	0.3666562	0
2918304	0.36637357	0.36637357	0.36637357	0
3235717	0.36622375	0.36622375	0.36622375	0
3662142	0.3648269	0.3648269	0.3648269	0
3181871	0.36396596	0.36396596	0.36396596	2
3477044	0.361764	0.361764	0.361764	0
2590592	0.36122277	0.36122277	0.36122277	0
3350949	0.36048034	0.36048034	0.36048034	0
1716160	0.35625595	0.35625595	0.35625595	2
2820028	0.35266092	0.35266092	0.35266092	0
3622424	0.35141551	0.35141551	0.35141551	0
3821958	0.34926406	0.34926406	0.34926406	0
3883248	0.34571114	0.34571114	0.34571114	0
1858696	0.34509408	0.34509408	0.34509408	0
2695233	0.34154844	0.34154844	0.34154844	0
2170450	0.34108484	0.34108484	0.34108484	0
3745444	0.34086865	0.34086865	0.34086865	0
2732008	0.34078923	0.34078923	0.34078923	0
3549946	0.33917817	0.33917817	0.33917817	0
3468878	0.33822665	0.33822665	0.33822665	0
3181745	0.33749956	0.33749956	0.33749956	2
2094705	0.33544728	0.33544728	0.33544728	0
3012558	0.33353803	0.33353803	0.33353803	2
2717212	0.33184373	0.33184373	0.33184373	0
3461647	0.3309955	0.3309955	0.3309955	2
3181876	0.3308116	0.3308116	0.3308116	2
2671773	0.33016244	0.33016244	0.33016244	2
2851027	0.32678854	0.32678854	0.32678854	0
3148928	0.32422695	0.32422695	0.32422695	2
3630936	0.32365596	0.32365596	0.32365596	0
1434505	0.3233649	0.3233649	0.3233649	2
2669860	0.32312268	0.32312268	0.32312268	0
3557457	0.32286	0.32286	0.32286	2
3373552	0.32272664	0.32272664	0.32272664	2
3843012	0.3213252	0.3213252	0.3213252	0
3375088	0.3185428	0.3185428	3.1314437	2
549544	0.3182102	0.3182102	0.3182102	0
3168091	0.31812897	0.31812897	0.31812897	0
1661590	0.3177815	0.3177815	0.3177815	0
3775057	0.3161356	0.3161356	0.3161356	0
2970950	0.31555676	0.31555676	0.31555676	2
3448519	0.31548375	0.31548375	0.31548375	0
3502159	0.31526738	0.31526738	0.31526738	0
3655224	0.3145306	0.3145306	0.3145306	0
2808471	0.31377965	0.31377965	0.31377965	0
3038531	0.3133345	0.3133345	0.3133345	0
2877604	0.31301802	0.31301802	0.31301802	0
1851705	0.30814976	0.30814976	0.30814976	0
2235848	0.30810064	0.30810064	0.30810064	0
3031932	0.3042884	0.3042884	0.3042884	0
2656294	0.30354154	0.30354154	0.30354154	0
2566567	0.3034981	0.3034981	0.3034981	0
3195149	0.30257	0.30257	0.30257	2
3446808	0.30225343	0.30225343	0.30225343	0
2865463	0.301451	0.301451	0.9059331	0
3081466	0.30068183	0.30068183	0.30068183	0
3420492	0.3002952	0.3002952	0.3002952	0
3493986	0.2995474	0.2995474	0.2995474	0
2881943	0.2961455	0.2961455	0.2961455	2
3292982	0.29541865	0.29541865	0.29541865	0
3279475	0.2947081	0.2947081	0.2947081	0
3687048	0.29396278	0.29396278	0.29396278	0
3658966	0.2933167	0.2933167	0.2933167	0
3560182	0.29317325	0.29317325	0.29317325	2
3665565	0.29201382	0.29201382	0.29201382	0
2628663	0.29176956	0.29176956	0.29176956	0
2871168	0.29136524	0.29136524	0.29136524	0
2515895	0.29045746	0.29045746	0.29045746	0
2089060	0.2904572	0.2904572	0.2904572	2
2966694	0.2900165	0.2900165	0.2900165	0
3670442	0.28914806	0.28914806	0.28914806	0
3146226	0.28873855	0.28873855	0.28873855	0
3833341	0.28779453	0.28779453	0.28779453	0
3161003	0.2848677	0.2848677	0.2848677	0
3859854	0.284293	0.284293	0.284293	0
3488812	0.28294623	0.28294623	0.28294623	0
2768965	0.28127083	0.28127083	0.28127083	2
3839807	0.2810896	0.2810896	0.2810896	0
3485051	0.28051516	0.28051516	0.28051516	0
3181740	0.2795067	0.2795067	0.2795067	2
3568739	0.27910143	0.27910143	0.27910143	2
3565907	0.2781661	0.2781661	0.2781661	0
2515893	0.27775016	0.27775016	0.27775016	0
3315261	0.27758357	0.27758357	0.27758357	0
1693912	0.2774386	0.2774386	0.2774386	0
3419066	0.2761423	0.2761423	0.2761423	0
2745863	0.27578023	0.27578023	0.27578023	0
3833342	0.27496958	0.27496958	0.27496958	0
3181885	0.27434736	0.27434736	0.27434736	2
2773760	0.27331647	0.27331647	0.27331647	0
3863886	0.27220535	0.27220535	0.27220535	0
3503657	0.27169165	0.27169165	0.27169165	0
2987505	0.27144045	0.27144045	0.27144045	0
3573582	0.27132666	0.27132666	0.27132666	0
3642018	0.2707619	0.2707619	0.2707619	0
3682805	0.27043638	0.27043638	0.27043638	0
3016314	0.2699013	0.2699013	0.2699013	0
194858	0.26893687	0.26893687	0.26893687	0
2656315	0.26702806	0.26702806	0.26702806	2
3627470	0.26696712	0.26696712	0.26696712	2
2755164	0.26661474	0.26661474	0.26661474	0
3372078	0.26631203	0.26631203	0.26631203	0
2918299	0.26593778	0.26593778	0.26593778	0
2861844	0.26551482	0.26551482	2.4999747	0
2890872	0.2646051	0.2646051	0.2646051	0
3513220	0.26317245	0.26317245	0.26317245	0
3379960	0.26198813	0.26198813	0.26198813	0
2854084	0.26137397	0.26137397	0.26137397	0
3420417	0.2605598	0.2605598	0.2605598	0
3420378	0.2597506	0.2597506	0.2597506	0
2887642	0.25760242	0.25760242	0.25760242	0
3032179	0.25750753	0.25750753	0.25750753	0
3688436	0.25718194	0.25718194	0.25718194	0
3613594	0.2570693	0.2570693	0.2570693	0
2695217	0.25660563	0.25660563	0.25660563	0
3296346	0.2565066	0.2565066	0.2565066	0
3276432	0.25625437	0.25625437	0.25625437	0
3745928	0.25590378	0.25590378	0.25590378	0
3777354	0.25493538	0.25493538	0.25493538	0
3214546	0.25337118	0.25337118	0.25337118	0
3134924	0.25197625	0.25197625	0.25197625	0
3666389	0.2514124	0.2514124	0.2514124	0
3181767	0.2506555	0.2506555	0.2506555	2
2834624	0.25057438	0.25057438	0.25057438	0
3763571	0.25052178	0.25052178	0.25052178	0
3451744	0.2498593	0.2498593	0.2498593	0
3446010	0.24908167	0.24908167	0.24908167	0
2725270	0.24890596	0.24890596	0.24890596	0
1664563	0.24885112	0.24885112	0.24885112	2
317342	0.24863575	0.24863575	0.24863575	0
3324881	0.24845947	0.24845947	0.24845947	2
3226531	0.24803838	0.24803838	0.24803838	0
3771226	0.24794085	0.24794085	0.24794085	0
2656288	0.2455787	0.2455787	0.2455787	2
3666545	0.24544728	0.24544728	0.24544728	0
2246136	0.24453357	0.24453357	0.24453357	0
3181872	0.24437863	0.24437863	0.24437863	2
3440572	0.24265768	0.24265768	0.24265768	0
3125208	0.24254471	0.24254471	0.24254471	0
3079191	0.24253514	0.24253514	0.24253514	0
3560600	0.24238604	0.24238604	0.24238604	0
3740266	0.24149156	0.24149156	0.24149156	0
161797	0.24023993	0.24023993	0.24023993	2
1845151	0.23908004	0.23908004	0.23908004	0
3694900	0.23895362	0.23895362	0.23895362	2
3395405	0.23883972	0.23883972	0.23883972	0
3147093	0.23805062	0.23805062	0.23805062	0
3878575	0.23532024	0.23532024	0.23532024	0
3181869	0.23482604	0.23482604	2.0346184	2
2851681	0.23474221	0.23474221	0.23474221	0
2531078	0.23467946	0.23467946	0.23467946	0
3747020	0.23462687	0.23462687	0.23462687	0
3195148	0.23296964	0.23296964	0.23296964	2
3012908	0.23263822	0.23263822	0.23263822	2
3327977	0.2318763	0.2318763	0.2318763	0
3686769	0.23143058	0.23143058	0.23143058	2
3564099	0.23133773	0.23133773	0.23133773	0
3554980	0.23052232	0.23052232	0.23052232	0
1564027	0.23036125	0.23036125	0.23036125	0
3554961	0.22939782	0.22939782	0.22939782	0
