pmcid	score	relevancy
3555597	0.40778148	0
3796931	0.36874118	0
2791744	0.35354978	0
3129533	0.32999226	0
1852908	0.32988322	0
2850849	0.3173444	0
3485910	0.3139502	2
3619691	0.3066464	0
2946039	0.30114192	0
3030029	0.30000985	1
2672240	0.29782096	1
3746454	0.29381585	0
3859214	0.2932547	0
3243071	0.29130712	0
2820289	0.29072458	0
2637899	0.28972167	0
3498317	0.28920448	2
2995798	0.28886497	0
3180257	0.28435537	0
3665183	0.2838149	0
2654868	0.28276995	0
2572041	0.28161657	0
2739423	0.27987608	0
2329636	0.27960354	0
2672274	0.27854863	0
3111561	0.27776936	0
3482437	0.2776834	0
3322183	0.2764344	0
2630300	0.27627227	0
3504246	0.27625215	0
1906743	0.27615318	0
3849315	0.2758588	0
1434765	0.2744954	0
3487217	0.27373174	0
3445230	0.2718554	0
3885791	0.27055714	0
2994520	0.26920307	0
3311450	0.26898667	0
3504258	0.26870546	0
1940253	0.26814625	0
3424184	0.26681897	0
2868875	0.2648492	0
3751031	0.2637362	0
2771992	0.26346004	0
3698898	0.26152033	0
2981784	0.2609715	1
2365945	0.2600724	0
3221195	0.26006576	0
3276782	0.25971642	0
3609955	0.25942385	0
3863515	0.25910172	0
2279110	0.25864634	0
3364015	0.25714242	0
2941921	0.25702965	0
2827156	0.2566263	0
2823742	0.25596026	0
2726542	0.25579053	0
2908659	0.2557726	0
2726530	0.25577074	0
3629350	0.25548708	0
3843570	0.2551605	0
3833587	0.253684	2
3844222	0.25270712	0
3764963	0.25184703	0
3875965	0.2503494	0
2657326	0.24847509	0
3276810	0.24807495	0
3560684	0.24625263	0
2874294	0.24621557	0
3555591	0.24465081	0
2823151	0.24407493	0
3604869	0.24374841	0
3349957	0.24337898	0
3015350	0.24330455	0
3542899	0.24322511	0
2808616	0.2428548	0
3560638	0.24272238	0
3045397	0.24219626	0
2938427	0.24152061	0
3778807	0.24113764	0
3872045	0.24109276	0
3109763	0.24061695	0
3062131	0.24002081	0
3730144	0.23800373	0
2572045	0.23799978	0
1373644	0.23774192	0
3309244	0.23758712	0
3657909	0.23723848	0
3492969	0.23713958	0
3475120	0.23658997	0
3419694	0.23624697	0
3038627	0.23591042	0
3099222	0.2358165	0
3184652	0.23507036	0
3517480	0.2341991	0
3248590	0.23388821	0
3487309	0.23374677	1
3199939	0.2334806	0
3836946	0.23310007	0
3420658	0.23273611	0
3673813	0.23246135	0
3568877	0.23243457	0
3755437	0.23225656	0
2258295	0.23192702	0
3728482	0.23030406	0
2900082	0.23019764	0
2908830	0.2296663	0
3518019	0.22944883	0
1618845	0.22858436	0
3875121	0.22837432	0
3782585	0.2283526	0
1253520	0.22827278	0
2988848	0.22811306	0
3611057	0.22777802	0
3159367	0.22756876	0
2780663	0.22751287	0
2588582	0.22748832	1
2705345	0.2261668	0
3628477	0.22597921	0
3638550	0.22578335	0
2672979	0.22577797	0
3463148	0.22573012	0
3289218	0.22562867	0
2807529	0.22522488	0
3492092	0.2245377	0
3789280	0.22444363	0
503388	0.22364415	0
3483330	0.2234636	0
2923125	0.22316688	0
3809882	0.22274889	0
2531122	0.22265355	0
3708754	0.22232567	0
2837903	0.22204491	0
2855451	0.22163436	0
3641445	0.22152902	0
2850857	0.2214099	2
2858720	0.22107622	1
3257462	0.22093304	0
3735335	0.22079931	0
3504270	0.219611	0
3860041	0.2195915	0
3649624	0.21880803	0
3446140	0.21864256	0
3177587	0.21862589	0
3759076	0.21855146	0
3018401	0.21852046	0
3851840	0.21829171	0
3599747	0.21820374	0
3850443	0.21707602	0
2989698	0.21674597	0
1876466	0.21672198	0
2980628	0.21642938	0
2740128	0.21632805	0
3588206	0.21625328	0
3047826	0.21614534	2
2895899	0.21613693	0
2659845	0.21523428	0
2856542	0.21510863	0
3043275	0.21434523	0
3485486	0.2137917	0
3452305	0.21335752	0
2984334	0.21316929	2
2245957	0.21273823	0
3540655	0.21240142	0
3833481	0.21226099	0
3208579	0.21144181	0
3618104	0.21047981	0
3094649	0.2098576	0
3408519	0.2097668	0
3042228	0.20964536	0
2988179	0.20958449	2
3664074	0.20944887	2
2760694	0.20943148	0
2872891	0.2091656	0
3677011	0.20907493	2
3097618	0.20865798	0
3299165	0.20802368	0
3716024	0.2077396	0
3658220	0.20772035	1
3157089	0.20724584	0
3814995	0.2068504	0
3366322	0.20638536	0
3469937	0.20630349	0
3586460	0.2062284	0
3199415	0.20614651	0
2914369	0.2059902	0
3653538	0.20576394	0
3755442	0.20573488	0
3664409	0.20547612	0
3800309	0.20507102	0
3016127	0.2049709	0
3075144	0.20493329	0
3730206	0.20485054	0
3825224	0.20481992	0
2815823	0.20472908	0
3728529	0.20444962	0
2908657	0.20422946	0
2780644	0.20422444	0
2769450	0.20402049	0
3519056	0.20398167	0
2966747	0.20382085	0
137602	0.20365708	0
2621133	0.20364594	0
3752487	0.20340668	0
3444228	0.20303345	0
3420487	0.2024199	0
3695251	0.20195755	0
3420649	0.20110814	0
3258019	0.20094062	0
3789894	0.20090058	0
3750274	0.20079744	0
3205483	0.20056762	0
3483324	0.20023587	0
2770458	0.20022538	1
3420374	0.20005676	0
2614942	0.19987011	0
3690211	0.19982685	0
3655494	0.19964215	0
3833319	0.19947511	0
3227378	0.19912942	0
2654457	0.19856602	0
2803987	0.19825286	0
3049601	0.19820432	0
3636523	0.19812784	0
3642754	0.19807574	0
3708267	0.19802648	0
2988962	0.19752975	0
3324503	0.19724196	0
3000623	0.19711113	0
2760693	0.19708847	1
3521621	0.1964903	0
3599745	0.19644366	0
2823093	0.19635558	0
3099609	0.19618195	0
3494581	0.19610897	0
3347250	0.19608349	0
3014838	0.19555482	0
3855280	0.19549099	0
3318898	0.19541492	0
3438873	0.19510923	0
3748696	0.19473575	0
3389323	0.19467203	0
3646197	0.19443868	0
2772260	0.19435203	0
3555576	0.19423692	0
3086328	0.1941258	0
3056330	0.19398946	0
3037088	0.1939125	0
3725923	0.19390732	0
3335556	0.19386238	0
3860658	0.1936862	0
2918347	0.19346026	0
3470955	0.19337828	0
3347843	0.19331276	1
3560273	0.19326697	0
3579408	0.19317605	0
3064888	0.19309837	1
2994358	0.19305153	0
3521405	0.19300702	0
3567970	0.19299772	0
3771444	0.19280097	0
3644772	0.1926735	0
3639158	0.19258606	0
3507802	0.19248717	2
3355033	0.19178581	0
3459719	0.1914385	0
3399291	0.19122474	0
3649285	0.19110748	0
3459800	0.19079329	0
3573168	0.19036542	0
2987954	0.19022456	0
3750868	0.190192	0
1791015	0.19014944	0
3546248	0.189983	0
3420472	0.18955459	0
3679768	0.18921989	2
2684151	0.18896952	0
3375193	0.1887669	0
2757643	0.18875499	0
3876315	0.1887496	0
2825226	0.18864852	0
3530704	0.18856248	0
3079534	0.18847747	0
3567954	0.18793337	0
2700440	0.18786329	0
2438311	0.18750541	0
3835934	0.18725939	0
2734531	0.18716067	0
3327834	0.18696548	0
3509705	0.18659216	0
3424780	0.1865846	0
3481227	0.18657045	0
2908229	0.18649799	0
2553245	0.18643188	0
3347041	0.18628131	0
3629342	0.18619816	0
2892661	0.18608536	0
3793364	0.1860823	0
3043065	0.18592642	0
3137834	0.18589106	0
3821948	0.18572965	0
2758937	0.18541159	0
2917397	0.18529215	1
3679761	0.18529077	0
3884177	0.18523599	0
3723652	0.18522005	0
3537269	0.18519312	0
2994134	0.1850038	0
3835521	0.18489021	0
3317869	0.18478319	0
3030020	0.18443598	0
3717289	0.18421909	0
2772239	0.1841972	0
1936994	0.1841208	0
2572198	0.18344264	0
3649316	0.18330728	0
3524089	0.18327278	0
3868146	0.18320198	0
2361073	0.18311134	0
3514397	0.18305841	0
3412247	0.18275593	0
3432552	0.18266425	0
3524713	0.1826186	0
3152527	0.18235892	2
3075145	0.18218341	0
3606231	0.18212107	0
153436	0.1821108	0
2872582	0.1817025	1
3014468	0.18115497	0
3406278	0.18109436	2
3177790	0.18108782	0
3468117	0.18101083	0
2657355	0.18090299	0
2804570	0.18044518	0
3679722	0.18039364	0
2988808	0.18037628	0
2657235	0.18013494	0
3830836	0.18010405	0
2955573	0.1798982	0
3485102	0.17979778	0
3573784	0.17948543	0
2082036	0.17869213	0
3494172	0.17835091	0
2907502	0.17816289	0
3443276	0.17809826	0
2262905	0.17797188	0
2967696	0.17750217	0
3561083	0.17745683	0
3849624	0.17736122	0
3530752	0.17730372	0
3891030	0.17724411	0
3327083	0.17713958	0
3403804	0.17713381	0
3785391	0.17677332	0
3015942	0.17675303	0
3688238	0.17656468	0
3108092	0.17601953	0
2806544	0.17597854	0
2259188	0.17570283	0
3229075	0.17568895	0
3180395	0.17546135	0
3285529	0.17543776	1
3668258	0.17503934	0
1550718	0.17473677	0
3856285	0.17471133	2
2881018	0.17400584	0
3447637	0.17393956	0
2744927	0.1737199	0
2804729	0.1736478	0
2376906	0.17364417	0
2872575	0.17357846	0
2747555	0.17343107	0
3542893	0.17335628	0
3299160	0.1733366	2
2174498	0.17332372	2
2803814	0.17331024	0
3298010	0.17328763	0
2350145	0.17292498	0
3112366	0.17262371	0
3151209	0.17252253	0
2700619	0.17244874	0
3735842	0.17229193	0
3404034	0.17196143	0
3214571	0.171677	0
1562442	0.171381	0
2634608	0.17137536	0
3463834	0.17134771	0
1315330	0.17128745	0
2887806	0.1711656	2
3872234	0.17085433	0
2926431	0.17049779	0
3184711	0.17037614	2
2672220	0.17036884	1
3649087	0.17017041	0
3504261	0.17010088	0
3777789	0.17001104	0
3854998	0.16954824	0
3691896	0.1694923	0
2505213	0.16947521	0
3844346	0.16925208	0
2678699	0.16900308	2
3719000	0.16896583	0
2360441	0.16892874	0
2907005	0.16891418	0
3350039	0.16872288	0
3806430	0.16866966	0
3492211	0.16864875	0
3040918	0.16847682	0
3313757	0.16832548	0
3015657	0.16827646	0
2823146	0.16767333	0
3200234	0.1676524	0
2971478	0.16762951	0
3435946	0.16757643	0
2769292	0.16740885	2
3672596	0.16740814	0
3542889	0.1670934	0
3353206	0.16701818	1
3669105	0.16696322	0
2766585	0.16684479	0
3819801	0.16665049	0
3359068	0.16661377	0
3221138	0.16646832	0
3587012	0.16629447	0
3890738	0.16610697	2
3851743	0.16606465	0
2946034	0.16604514	0
3871559	0.16601825	0
3268705	0.16593973	0
3468804	0.16589265	0
3821135	0.16580693	0
3670523	0.16580431	0
3860632	0.16572772	0
3522372	0.16564102	0
2790738	0.16556764	0
3199274	0.16552366	0
2993124	0.16532117	0
3603620	0.16529489	0
3015288	0.16526665	0
2536181	0.16524374	0
3151403	0.16513063	0
3860035	0.16488059	0
3664751	0.16474804	0
3674934	0.16458793	0
2627246	0.16444872	0
3821706	0.16443545	2
3197010	0.16441582	0
3170124	0.1643926	0
2672275	0.16434602	0
3651315	0.16417244	0
3611109	0.16417012	0
3522328	0.16383322	0
2994546	0.16374607	0
3178469	0.16364828	0
2777146	0.16358101	0
3728499	0.16344771	0
3361475	0.16344187	0
2816288	0.1632294	0
3276041	0.16310902	0
3099613	0.16294625	0
3310784	0.16293825	0
3674470	0.16272825	0
3397657	0.16255999	1
3718246	0.1624344	0
3596807	0.16211784	0
1635560	0.16179872	0
3040436	0.16172026	0
3278357	0.16154529	0
2830981	0.16144447	0
2671752	0.16133034	0
3448314	0.16124447	0
2881009	0.16122589	0
2815650	0.16117983	0
3015800	0.16113523	0
2788586	0.16107643	0
2791734	0.1608471	0
2672283	0.16064486	0
3015425	0.16062559	0
3445101	0.16053595	0
3248865	0.16053247	1
3113281	0.16025884	0
3280477	0.16022776	0
2799065	0.16016637	0
2783132	0.15987273	0
3617035	0.15979561	0
3214171	0.15951838	0
1824747	0.15921618	0
2542346	0.15908591	0
2845787	0.15901217	0
2938513	0.15870719	0
3022139	0.15868968	0
2801475	0.15857607	1
3445145	0.15854882	2
2740151	0.1585044	0
3660483	0.15840246	0
3655067	0.15834281	0
3356599	0.15834059	0
3210944	0.15828529	0
3848061	0.15762244	0
3104365	0.15739155	0
3760260	0.15724932	0
2994812	0.15711562	0
3064452	0.15706833	1
2900080	0.15686591	0
3563235	0.15672171	0
3014821	0.15667574	0
1945023	0.1566248	0
3458412	0.15646616	0
2234421	0.1563036	0
3822132	0.15623997	0
3079086	0.1560414	0
2584647	0.15593968	0
2823152	0.15584755	0
3116106	0.15574582	0
3679720	0.15549788	0
3870123	0.15546997	0
3792613	0.1553287	0
3580369	0.15514693	0
3616020	0.15495457	0
3461283	0.15455306	0
3696268	0.15453483	0
2919376	0.15442944	0
3201602	0.15432402	0
2794498	0.15429385	0
3147154	0.15421034	0
2672245	0.15415375	0
3505934	0.15402687	1
3410027	0.153992	0
2503992	0.15399106	0
3639670	0.15389028	0
3291419	0.15378156	0
3236153	0.15366028	0
3212924	0.15355578	0
3402108	0.15343119	0
2966702	0.15334123	0
2415356	0.15329728	0
3870642	0.15285899	0
3531001	0.15277493	0
3271472	0.1526121	0
2531092	0.15252514	1
2517650	0.1524498	0
2769480	0.1520521	2
2847208	0.15189563	0
3219650	0.15178235	0
3512619	0.15167443	0
2682409	0.15156333	0
3636961	0.1509146	0
3444913	0.15090005	0
3014832	0.15089518	0
3479946	0.15089501	0
3282287	0.1508439	0
2686715	0.15082651	0
3752881	0.15082209	0
3352065	0.15081504	0
3787409	0.15077215	0
2629964	0.15073407	1
2938495	0.15071155	1
3464466	0.15057181	0
3880742	0.1505659	0
3489384	0.15040511	0
3212604	0.15014501	0
3375713	0.14994252	0
1824728	0.14994165	0
3161475	0.14989142	1
3858807	0.14986631	0
1459158	0.14985271	0
3299954	0.14979589	0
3236146	0.14972554	0
3440482	0.14939636	0
3618925	0.14933296	2
2914738	0.14920938	0
3655452	0.14916582	0
2767138	0.14908923	2
3435508	0.14901209	0
2737754	0.14900537	1
3762173	0.14885925	0
3476012	0.14879507	0
3097588	0.14872824	0
2974992	0.14860785	0
3571609	0.14854991	0
3788190	0.1485387	0
3542887	0.14835697	2
3194780	0.14829539	0
3140077	0.14823024	0
3215995	0.14806852	0
3414837	0.14805883	0
3099090	0.1479463	0
2892670	0.14783996	0
3653514	0.14758833	0
2729419	0.14744799	0
3531528	0.14738543	0
2721535	0.14735521	1
2892586	0.1472631	0
3227428	0.14712386	0
3549582	0.14706649	0
3406274	0.14695275	2
2797382	0.14694908	0
3611058	0.1469312	0
2613589	0.14655055	0
2629690	0.14626417	0
3847353	0.14609401	0
2740109	0.14594378	0
3354466	0.14588602	2
2748271	0.14580868	0
2840602	0.14580756	0
3588621	0.14578497	0
3588394	0.14575113	0
3766327	0.14565548	0
2565667	0.14551261	0
3674474	0.14551081	0
2990901	0.1453238	0
3553161	0.14522669	0
3649217	0.14458528	0
3875015	0.14456718	0
2797112	0.1445304	0
3619046	0.14452076	0
1459269	0.14451031	0
3785339	0.14402375	0
3158560	0.14385201	0
2672249	0.14380923	0
3502875	0.14373681	0
3625550	0.14373322	0
3178521	0.14370726	0
3544670	0.14359868	0
3572695	0.14332971	2
2700584	0.1433063	0
3461616	0.14316465	0
2984407	0.14291437	0
3847583	0.14282575	0
3227226	0.14282362	0
3830318	0.1426872	0
3874663	0.14267905	2
3347913	0.14260453	0
2749011	0.14259467	0
3342021	0.142572	0
3277063	0.14256836	0
2922876	0.14250536	0
3117824	0.14233135	0
1435899	0.14231555	0
2813070	0.14226668	0
1325039	0.14218278	0
3020791	0.14166784	0
3734606	0.14145058	0
2580000	0.14135747	0
3838988	0.14127944	0
3765831	0.14091983	0
2687681	0.14086637	0
3198187	0.14054646	0
3183636	0.14049771	2
3874838	0.13975985	0
3590700	0.13975202	0
3601818	0.13936383	0
2628341	0.13909924	0
3746440	0.13891464	0
3530329	0.13884388	0
3253678	0.13865201	0
3499780	0.13855685	0
3169496	0.13854142	0
3783813	0.13851413	0
2861818	0.1384842	0
3687640	0.13818227	2
3019368	0.13805722	0
3800672	0.13796264	0
3266655	0.13795187	0
3546211	0.13744701	0
3311090	0.13711983	0
3492121	0.13704981	0
2798987	0.13704753	0
3830152	0.13702476	0
3696274	0.13699612	0
3141479	0.13666677	0
3206864	0.13641548	0
3586573	0.13624613	0
2908645	0.13621108	0
3652708	0.13611583	0
2559826	0.13600665	0
3658340	0.13599141	0
3044173	0.13596609	0
2784782	0.13595009	0
2799006	0.13581708	0
3265991	0.13558632	0
2799007	0.13558593	0
2813113	0.13554762	0
2809463	0.135383	0
2553649	0.13535717	0
1636035	0.1351981	0
3500003	0.13519749	0
2808566	0.13478675	0
3784075	0.13474238	2
3110290	0.13432527	0
1569431	0.13420956	0
3638525	0.13420822	0
2626649	0.13409017	0
3151228	0.13403302	0
2931374	0.13402222	0
3253694	0.13385825	0
3226577	0.13357964	0
2937212	0.13351774	0
3123852	0.13333578	0
3746449	0.13333291	0
3757801	0.13324934	0
3088394	0.13323829	0
3245497	0.13281722	0
1888688	0.13257234	0
3032672	0.13248399	0
